iter	Logloss
0	0.6781407395
1	0.667187563
2	0.6552873201
3	0.6435020989
4	0.6323363659
5	0.6237286461
6	0.6157344245
7	0.6065898909
8	0.5977701679
9	0.5899538029
10	0.5827454762
11	0.5745080989
12	0.5688394274
13	0.5626280061
14	0.5571590547
15	0.5508595408
16	0.5442188
17	0.5377062045
18	0.5338845872
19	0.5309260721
20	0.525430451
21	0.519262163
22	0.5150766849
23	0.5108340662
24	0.5062963851
25	0.5036647136
26	0.5007872107
27	0.4983379129
28	0.4960943897
29	0.4939148418
30	0.4907606679
31	0.4884222577
32	0.4855417382
33	0.4835674208
34	0.4806830226
35	0.4788133505
36	0.4766896087
37	0.4747628225
38	0.4729926532
39	0.4707446473
40	0.468763433
41	0.4672487648
42	0.4661457575
43	0.4643348648
44	0.4624868499
45	0.4605874716
46	0.4596658563
47	0.4583727479
48	0.4566247914
49	0.4547752363
50	0.4530253336
51	0.4519622892
52	0.4508107939
53	0.4498651806
54	0.4483298013
55	0.447225576
56	0.4463420339
57	0.4448468986
58	0.4440955037
59	0.4429517384
60	0.4418659439
61	0.4405148558
62	0.4396308313
63	0.4388539981
64	0.4379932251
65	0.4371394076
66	0.4357108683
67	0.434777982
68	0.4341496055
69	0.4331421797
70	0.4318747216
71	0.4312665072
72	0.4308624139
73	0.4303976317
74	0.4297001118
75	0.4288588867
76	0.428296672
77	0.427570303
78	0.4264324379
79	0.4257704293
80	0.4253617418
81	0.4249316461
82	0.4240422798
83	0.423179982
84	0.4221026165
85	0.4212370168
86	0.42053185
87	0.4198848855
88	0.4189280199
89	0.4181498017
90	0.4175125137
91	0.4171580919
92	0.41671123
93	0.4163535846
94	0.4154208504
95	0.4145276708
96	0.4132953653
97	0.4129629149
98	0.4122983068
99	0.4113537774
100	0.4107932805
101	0.4098859354
102	0.4092240396
103	0.4087485101
104	0.4079904389
105	0.4074295109
106	0.4066548032
107	0.405962963
108	0.4050120804
109	0.4046778905
110	0.4042100193
111	0.403387327
112	0.4027498147
113	0.4022170346
114	0.4014488091
115	0.4009053495
116	0.4002114567
117	0.3995830818
118	0.3987967567
119	0.3980684266
120	0.3976259898
121	0.397224289
122	0.3963587138
123	0.3959622344
124	0.3955318544
125	0.3946246065
126	0.3933178157
127	0.3928709547
128	0.3921146366
129	0.3917242806
130	0.3913367033
131	0.3908997451
132	0.3901678755
133	0.3897282155
134	0.3890246189
135	0.388063952
136	0.3873928696
137	0.3870550267
138	0.3865977663
139	0.3858496251
140	0.3847264767
141	0.3843722837
142	0.3838045093
143	0.3832657327
144	0.3822005057
145	0.3819797547
146	0.3813365949
147	0.3810039444
148	0.3801290798
149	0.3799275324
150	0.3788646242
151	0.378480345
152	0.3781842592
153	0.3773883243
154	0.3765920166
155	0.3763961435
156	0.3757663739
157	0.3754692121
158	0.3744655855
159	0.3735990443
160	0.3726204058
161	0.3719944604
162	0.3717707334
163	0.3715454771
164	0.3704663554
165	0.3699643566
166	0.36982019
167	0.3691345985
168	0.3688192825
169	0.3682094857
170	0.3675547534
171	0.3668052057
172	0.3663790753
173	0.3655678718
174	0.365180503
175	0.3647058044
176	0.3640466572
177	0.3636496719
178	0.3631763114
179	0.362736473
180	0.3624127366
181	0.3618474396
182	0.3615252841
183	0.3611709713
184	0.3606512238
185	0.3603218438
186	0.3600590538
187	0.359941551
188	0.3595484205
189	0.3586930175
190	0.358114747
191	0.3575582511
192	0.3570717877
193	0.3564558359
194	0.3556247354
195	0.3553325687
196	0.3549618109
197	0.3544551143
198	0.3540025987
199	0.3534647767
200	0.3525443555
201	0.3517261326
202	0.3512274908
203	0.3508653269
204	0.3504563966
205	0.3500684202
206	0.3497762024
207	0.3490729461
208	0.3485193977
209	0.3480614735
210	0.3473555449
211	0.3468980158
212	0.3464969809
213	0.3456780543
214	0.3448607177
215	0.3446074169
216	0.3437999813
217	0.3433678562
218	0.3428411944
219	0.3426036474
220	0.3420526962
221	0.3416204401
222	0.3412771366
223	0.3409475872
224	0.3406036373
225	0.3401312137
226	0.3397154268
227	0.3392067452
228	0.3386038305
229	0.3383327873
230	0.3379692451
231	0.3377738192
232	0.3372689125
233	0.3370349789
234	0.3367683217
235	0.3362468387
236	0.3360271748
237	0.3355363752
238	0.3353212695
239	0.33513587
240	0.3348447162
241	0.3344650754
242	0.3340625154
243	0.3332232404
244	0.332891071
245	0.3325516658
246	0.332169281
247	0.3320304418
248	0.3316777333
249	0.3313679954
250	0.3307462129
251	0.3298571455
252	0.329094439
253	0.3285575973
254	0.3282160276
255	0.3277461886
256	0.3274413414
257	0.3270807762
258	0.3266886976
259	0.3264208999
260	0.325696406
261	0.3255899304
262	0.3252025339
263	0.3245273667
264	0.3241225245
265	0.3239166315
266	0.3233958105
267	0.3232584967
268	0.3230136324
269	0.3226141667
270	0.3223843291
271	0.322152654
272	0.3211142396
273	0.3209506845
274	0.3206563342
275	0.3200161406
276	0.3195981078
277	0.3193501062
278	0.3190600153
279	0.3184335284
280	0.3181264899
281	0.317798511
282	0.3172121365
283	0.3166409288
284	0.3163756335
285	0.3159285774
286	0.3154034727
287	0.3151488421
288	0.3146349374
289	0.3143356451
290	0.3139222848
291	0.3133012259
292	0.3129960236
293	0.3124223228
294	0.3120937078
295	0.31161935
296	0.3111986546
297	0.3108095907
298	0.3105673147
299	0.3101445379
300	0.3100382701
301	0.3097662244
302	0.3091255572
303	0.3084226398
304	0.3081184228
305	0.3075625967
306	0.3068815734
307	0.3066610252
308	0.3065512338
309	0.3063396231
310	0.3060554614
311	0.3056211072
312	0.3053503827
313	0.3050572957
314	0.3045955529
315	0.304419425
316	0.304013289
317	0.3038493977
318	0.3035701021
319	0.3030113194
320	0.3025929607
321	0.3023279292
322	0.3022325963
323	0.3019091982
324	0.301600225
325	0.3009693327
326	0.3007304374
327	0.3002971211
328	0.3001041136
329	0.2990695509
330	0.2988604915
331	0.2984337027
332	0.2982953496
333	0.2977053976
334	0.2972865868
335	0.2967407357
336	0.2966489699
337	0.2962953621
338	0.2957596159
339	0.2953706908
340	0.2950590754
341	0.2944141253
342	0.2940116772
343	0.2933497458
344	0.293069465
345	0.2928216326
346	0.2924278938
347	0.2921464006
348	0.2918955273
349	0.2915751677
350	0.2912075849
351	0.2909921122
352	0.2908319355
353	0.2905156549
354	0.2901527837
355	0.289963655
356	0.2896713368
357	0.2895190498
358	0.2894133353
359	0.2892646524
360	0.2889627267
361	0.2887730925
362	0.2883049976
363	0.2879371527
364	0.2874560214
365	0.2870108178
366	0.2860953523
367	0.2856471029
368	0.2850850424
369	0.2848136158
370	0.2845347614
371	0.2839364883
372	0.2836805017
373	0.2832678921
374	0.2830304935
375	0.2826832348
376	0.282555973
377	0.2823030354
378	0.2820055575
379	0.2819273394
380	0.2815947702
381	0.2814196518
382	0.2808511407
383	0.2805027918
384	0.2802040437
385	0.2799962013
386	0.2797383906
387	0.2795783549
388	0.2793983877
389	0.2788823452
390	0.2786296476
391	0.278157761
392	0.2779660546
393	0.2775898954
394	0.2772434374
395	0.2770512168
396	0.2769647146
397	0.2765125575
398	0.2764023343
399	0.275918454
400	0.2755824153
401	0.2751801216
402	0.2748252609
403	0.2745718556
404	0.2742595832
405	0.2740798114
406	0.2738459976
407	0.2737050179
408	0.2731541118
409	0.2728245507
